recvTime,fiwareServicePath,entityId,entityType,attrName,attrType,attrValue
2023-01-25T09:08:54.701Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,start,Text,
2023-01-25T09:08:54.701Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,Status,Text,Moving
2023-01-25T09:17:14.701Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,Status,Text,Finished
2023-01-25T11:47:45.701Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,start,Text,
2023-01-25T11:47:45.701Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,Status,Text,Moving
2023-01-25T11:56:24.701Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,Status,Text,Finished
2023-01-25T14:10:13.701Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,start,Text,
2023-01-25T14:10:13.701Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,Status,Text,Moving
2023-01-25T14:15:59.701Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,Status,Text,Finished
2023-01-25T16:35:44.701Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,start,Text,
2023-01-25T16:35:44.701Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,Status,Text,Moving
2023-01-25T16:44:15.701Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,Status,Text,Finished
2023-01-26T09:08:17.704Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,start,Text,
2023-01-26T09:08:17.704Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,Status,Text,Moving
2023-01-26T09:16:12.704Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,Status,Text,Finished
2023-01-26T11:53:40.704Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,start,Text,
2023-01-26T11:53:40.704Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,Status,Text,Moving
2023-01-26T12:01:58.704Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,Status,Text,Finished
2023-01-26T14:35:56.704Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,start,Text,
2023-01-26T14:35:56.704Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,Status,Text,Moving
2023-01-26T14:44:33.704Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,Status,Text,Finished
2023-01-26T17:13:52.704Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,start,Text,
2023-01-26T17:13:52.704Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,Status,Text,Moving
2023-01-26T17:23:12.704Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,Status,Text,Finished
2023-01-26T20:15:46.704Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,start,Text,
2023-01-26T20:15:46.704Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,Status,Text,Moving
2023-01-26T20:25:18.704Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,Status,Text,Finished
2023-01-26T22:56:43.704Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,start,Text,
2023-01-26T22:56:43.704Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,Status,Text,Moving
2023-01-26T23:02:35.704Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,Status,Text,Finished
2023-01-27T01:30:12.704Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,start,Text,
2023-01-27T01:30:12.704Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,Status,Text,Moving
2023-01-27T01:38:00.704Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,Status,Text,Finished
2023-01-27T04:01:31.704Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,start,Text,
2023-01-27T04:01:31.704Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,Status,Text,Moving
2023-01-27T04:08:58.704Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,Status,Text,Finished
2023-01-27T06:38:06.704Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,start,Text,
2023-01-27T06:38:06.704Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,Status,Text,Moving
2023-01-27T06:44:45.704Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,Status,Text,Finished
2023-01-27T09:16:58.704Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,start,Text,
2023-01-27T09:16:58.704Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,Status,Text,Moving
2023-01-27T09:26:18.704Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,Status,Text,Finished
2023-01-27T11:36:15.704Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,start,Text,
2023-01-27T11:36:15.704Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,Status,Text,Moving
2023-01-27T11:42:34.704Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,Status,Text,Finished
2023-01-27T14:12:17.704Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,start,Text,
2023-01-27T14:12:17.704Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,Status,Text,Moving
2023-01-27T14:20:35.704Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,Status,Text,Finished
2023-01-27T16:33:08.704Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,start,Text,
2023-01-27T16:33:08.704Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,Status,Text,Moving
2023-01-27T16:39:46.704Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,Status,Text,Finished
2023-01-27T19:09:19.704Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,start,Text,
2023-01-27T19:09:19.704Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,Status,Text,Moving
2023-01-27T19:15:49.704Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,Status,Text,Finished
2023-01-27T21:36:33.704Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,start,Text,
2023-01-27T21:36:33.704Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,Status,Text,Moving
2023-01-27T21:46:04.704Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,Status,Text,Finished
2023-01-28T00:13:20.704Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,start,Text,
2023-01-28T00:13:20.704Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,Status,Text,Moving
2023-01-28T00:19:15.704Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,Status,Text,Finished
2023-01-28T02:58:09.704Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,start,Text,
2023-01-28T02:58:09.704Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,Status,Text,Moving
2023-01-28T03:07:53.704Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,Status,Text,Finished
2023-01-28T05:25:52.704Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,start,Text,
2023-01-28T05:25:52.704Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,Status,Text,Moving
2023-01-28T05:34:41.704Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,Status,Text,Finished
2023-01-28T07:56:30.704Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,start,Text,
2023-01-28T07:56:30.704Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,Status,Text,Moving
2023-01-28T08:02:56.704Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,Status,Text,Finished
2023-01-28T10:24:03.704Z,/,urn:ngsiv2:ROS2System:Turtle003,ROS2System,start,Text,
