recvTime,fiwareServicePath,entityId,entityType,attrName,attrType,attrValue
2023-01-25T08:22:56.701Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,start,Text,
2023-01-25T08:22:56.701Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,Status,Text,Moving
2023-01-25T08:28:14.701Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,Status,Text,Finished
2023-01-25T11:02:19.701Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,start,Text,
2023-01-25T11:02:19.701Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,Status,Text,Moving
2023-01-25T11:07:45.701Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,Status,Text,Finished
2023-01-25T13:29:51.701Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,start,Text,
2023-01-25T13:29:51.701Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,Status,Text,Moving
2023-01-25T13:36:21.701Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,Status,Text,Finished
2023-01-25T15:51:21.701Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,start,Text,
2023-01-25T15:51:21.701Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,Status,Text,Moving
2023-01-25T15:57:30.701Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,Status,Text,Finished
2023-01-26T08:24:58.704Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,start,Text,
2023-01-26T08:24:58.704Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,Status,Text,Moving
2023-01-26T08:32:36.704Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,Status,Text,Finished
2023-01-26T11:04:43.704Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,start,Text,
2023-01-26T11:04:43.704Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,Status,Text,Moving
2023-01-26T11:10:28.704Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,Status,Text,Finished
2023-01-26T13:46:46.704Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,start,Text,
2023-01-26T13:46:46.704Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,Status,Text,Moving
2023-01-26T13:52:24.704Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,Status,Text,Finished
2023-01-26T16:30:15.704Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,start,Text,
2023-01-26T16:30:15.704Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,Status,Text,Moving
2023-01-26T16:38:54.704Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,Status,Text,Finished
2023-01-26T19:20:25.704Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,start,Text,
2023-01-26T19:20:25.704Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,Status,Text,Moving
2023-01-26T19:29:44.704Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,Status,Text,Finished
2023-01-26T22:07:44.704Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,start,Text,
2023-01-26T22:07:44.704Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,Status,Text,Moving
2023-01-26T22:12:55.704Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,Status,Text,Finished
2023-01-27T00:41:00.704Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,start,Text,
2023-01-27T00:41:00.704Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,Status,Text,Moving
2023-01-27T00:50:26.704Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,Status,Text,Finished
2023-01-27T03:11:07.704Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,start,Text,
2023-01-27T03:11:07.704Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,Status,Text,Moving
2023-01-27T03:19:46.704Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,Status,Text,Finished
2023-01-27T05:57:31.704Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,start,Text,
2023-01-27T05:57:31.704Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,Status,Text,Moving
2023-01-27T06:06:00.704Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,Status,Text,Finished
2023-01-27T08:27:18.704Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,start,Text,
2023-01-27T08:27:18.704Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,Status,Text,Moving
2023-01-27T08:34:43.704Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,Status,Text,Finished
2023-01-27T10:47:53.704Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,start,Text,
2023-01-27T10:47:53.704Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,Status,Text,Moving
2023-01-27T10:54:34.704Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,Status,Text,Finished
2023-01-27T13:24:17.704Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,start,Text,
2023-01-27T13:24:17.704Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,Status,Text,Moving
2023-01-27T13:33:59.704Z,/,urn:ngsiv2:ROS2System:Turtle001,ROS2System,Status,Text,Finished
