recvTime,fiwareServicePath,entityId,entityType,attrName,attrType,attrValue
2023-01-25T08:45:26.701Z,/,urn:ngsiv2:ROS2System:Turtle002,ROS2System,start,Text,
2023-01-25T08:45:26.701Z,/,urn:ngsiv2:ROS2System:Turtle002,ROS2System,start,Text,Moving
2023-01-25T08:53:53.701Z,/,urn:ngsiv2:ROS2System:Turtle002,ROS2System,start,Text,Finished
2023-01-25T11:19:57.701Z,/,urn:ngsiv2:ROS2System:Turtle002,ROS2System,start,Text,
2023-01-25T11:19:57.701Z,/,urn:ngsiv2:ROS2System:Turtle002,ROS2System,start,Text,Moving
2023-01-25T11:29:34.701Z,/,urn:ngsiv2:ROS2System:Turtle002,ROS2System,start,Text,Finished
2023-01-25T13:48:44.701Z,/,urn:ngsiv2:ROS2System:Turtle002,ROS2System,start,Text,
2023-01-25T13:48:44.701Z,/,urn:ngsiv2:ROS2System:Turtle002,ROS2System,start,Text,Moving
2023-01-25T13:55:08.701Z,/,urn:ngsiv2:ROS2System:Turtle002,ROS2System,start,Text,Finished
2023-01-25T16:08:33.701Z,/,urn:ngsiv2:ROS2System:Turtle002,ROS2System,start,Text,
2023-01-25T16:08:33.701Z,/,urn:ngsiv2:ROS2System:Turtle002,ROS2System,start,Text,Moving
2023-01-25T16:14:56.701Z,/,urn:ngsiv2:ROS2System:Turtle002,ROS2System,start,Text,Finished
2023-01-26T08:45:06.704Z,/,urn:ngsiv2:ROS2System:Turtle002,ROS2System,start,Text,
2023-01-26T08:45:06.704Z,/,urn:ngsiv2:ROS2System:Turtle002,ROS2System,start,Text,Moving
2023-01-26T08:51:41.704Z,/,urn:ngsiv2:ROS2System:Turtle002,ROS2System,start,Text,Finished
2023-01-26T11:27:35.704Z,/,urn:ngsiv2:ROS2System:Turtle002,ROS2System,start,Text,
2023-01-26T11:27:35.704Z,/,urn:ngsiv2:ROS2System:Turtle002,ROS2System,start,Text,Moving
2023-01-26T11:35:00.704Z,/,urn:ngsiv2:ROS2System:Turtle002,ROS2System,start,Text,Finished
2023-01-26T14:12:38.704Z,/,urn:ngsiv2:ROS2System:Turtle002,ROS2System,start,Text,
2023-01-26T14:12:38.704Z,/,urn:ngsiv2:ROS2System:Turtle002,ROS2System,start,Text,Moving
