recvTime,fiwareServicePath,entityId,entityType,attrName,attrType,attrValue
2023-01-25T10:27:45.701Z,/,urn:ngsiv2:ROS2System:Turtle006,ROS2System,start,Text,
2023-01-25T10:27:45.701Z,/,urn:ngsiv2:ROS2System:Turtle006,ROS2System,start,Text,Moving
2023-01-25T10:36:35.701Z,/,urn:ngsiv2:ROS2System:Turtle006,ROS2System,start,Text,Finished
2023-01-25T12:55:29.701Z,/,urn:ngsiv2:ROS2System:Turtle006,ROS2System,start,Text,
2023-01-25T12:55:29.701Z,/,urn:ngsiv2:ROS2System:Turtle006,ROS2System,start,Text,Moving
2023-01-25T13:04:48.701Z,/,urn:ngsiv2:ROS2System:Turtle006,ROS2System,start,Text,Finished
2023-01-25T15:19:17.701Z,/,urn:ngsiv2:ROS2System:Turtle006,ROS2System,start,Text,
2023-01-25T15:19:17.701Z,/,urn:ngsiv2:ROS2System:Turtle006,ROS2System,start,Text,Moving
2023-01-25T15:27:59.701Z,/,urn:ngsiv2:ROS2System:Turtle006,ROS2System,start,Text,Finished
2023-01-25T17:49:58.701Z,/,urn:ngsiv2:ROS2System:Turtle006,ROS2System,start,Text,
2023-01-25T17:49:58.701Z,/,urn:ngsiv2:ROS2System:Turtle006,ROS2System,start,Text,Moving
2023-01-25T17:57:32.701Z,/,urn:ngsiv2:ROS2System:Turtle006,ROS2System,start,Text,Finished
2023-01-26T10:27:55.704Z,/,urn:ngsiv2:ROS2System:Turtle006,ROS2System,start,Text,
2023-01-26T10:27:55.704Z,/,urn:ngsiv2:ROS2System:Turtle006,ROS2System,start,Text,Moving
2023-01-26T10:36:25.704Z,/,urn:ngsiv2:ROS2System:Turtle006,ROS2System,start,Text,Finished
2023-01-26T13:02:29.704Z,/,urn:ngsiv2:ROS2System:Turtle006,ROS2System,start,Text,
2023-01-26T13:02:29.704Z,/,urn:ngsiv2:ROS2System:Turtle006,ROS2System,start,Text,Moving
2023-01-26T13:09:09.704Z,/,urn:ngsiv2:ROS2System:Turtle006,ROS2System,start,Text,Finished
