recvTime,fiwareServicePath,entityId,entityType,attrName,attrType,attrValue
2023-01-25T09:59:53.701Z,/,urn:ngsiv2:ROS2System:Turtle005,ROS2System,start,Text,
2023-01-25T09:59:53.701Z,/,urn:ngsiv2:ROS2System:Turtle005,ROS2System,Status,Text,Moving
2023-01-25T10:07:35.701Z,/,urn:ngsiv2:ROS2System:Turtle005,ROS2System,Status,Text,Finished
2023-01-25T12:33:55.701Z,/,urn:ngsiv2:ROS2System:Turtle005,ROS2System,start,Text,
2023-01-25T12:33:55.701Z,/,urn:ngsiv2:ROS2System:Turtle005,ROS2System,Status,Text,Moving
2023-01-25T12:42:10.701Z,/,urn:ngsiv2:ROS2System:Turtle005,ROS2System,Status,Text,Finished
2023-01-25T14:57:26.701Z,/,urn:ngsiv2:ROS2System:Turtle005,ROS2System,start,Text,
2023-01-25T14:57:26.701Z,/,urn:ngsiv2:ROS2System:Turtle005,ROS2System,Status,Text,Moving
2023-01-25T15:06:41.701Z,/,urn:ngsiv2:ROS2System:Turtle005,ROS2System,Status,Text,Finished
2023-01-25T17:29:40.701Z,/,urn:ngsiv2:ROS2System:Turtle005,ROS2System,start,Text,
2023-01-25T17:29:40.701Z,/,urn:ngsiv2:ROS2System:Turtle005,ROS2System,Status,Text,Moving
2023-01-25T17:38:15.701Z,/,urn:ngsiv2:ROS2System:Turtle005,ROS2System,Status,Text,Finished
2023-01-26T10:04:50.704Z,/,urn:ngsiv2:ROS2System:Turtle005,ROS2System,start,Text,
2023-01-26T10:04:50.704Z,/,urn:ngsiv2:ROS2System:Turtle005,ROS2System,Status,Text,Moving
2023-01-26T10:11:12.704Z,/,urn:ngsiv2:ROS2System:Turtle005,ROS2System,Status,Text,Finished
2023-01-26T12:38:54.704Z,/,urn:ngsiv2:ROS2System:Turtle005,ROS2System,start,Text,
2023-01-26T12:38:54.704Z,/,urn:ngsiv2:ROS2System:Turtle005,ROS2System,Status,Text,Moving
2023-01-26T12:45:32.704Z,/,urn:ngsiv2:ROS2System:Turtle005,ROS2System,Status,Text,Finished
2023-01-26T15:30:35.704Z,/,urn:ngsiv2:ROS2System:Turtle005,ROS2System,start,Text,
2023-01-26T15:30:35.704Z,/,urn:ngsiv2:ROS2System:Turtle005,ROS2System,Status,Text,Moving
2023-01-26T15:38:20.704Z,/,urn:ngsiv2:ROS2System:Turtle005,ROS2System,Status,Text,Finished
2023-01-26T18:10:29.704Z,/,urn:ngsiv2:ROS2System:Turtle005,ROS2System,start,Text,
2023-01-26T18:10:29.704Z,/,urn:ngsiv2:ROS2System:Turtle005,ROS2System,Status,Text,Moving
2023-01-26T18:17:16.704Z,/,urn:ngsiv2:ROS2System:Turtle005,ROS2System,Status,Text,Finished
2023-01-26T21:06:01.704Z,/,urn:ngsiv2:ROS2System:Turtle005,ROS2System,start,Text,
2023-01-26T21:06:01.704Z,/,urn:ngsiv2:ROS2System:Turtle005,ROS2System,Status,Text,Moving
2023-01-26T21:15:19.704Z,/,urn:ngsiv2:ROS2System:Turtle005,ROS2System,Status,Text,Finished
2023-01-26T23:44:13.704Z,/,urn:ngsiv2:ROS2System:Turtle005,ROS2System,start,Text,
2023-01-26T23:44:13.704Z,/,urn:ngsiv2:ROS2System:Turtle005,ROS2System,Status,Text,Moving
2023-01-26T23:53:39.704Z,/,urn:ngsiv2:ROS2System:Turtle005,ROS2System,Status,Text,Finished
2023-01-27T02:14:09.704Z,/,urn:ngsiv2:ROS2System:Turtle005,ROS2System,start,Text,
2023-01-27T02:14:09.704Z,/,urn:ngsiv2:ROS2System:Turtle005,ROS2System,Status,Text,Moving
2023-01-27T02:21:51.704Z,/,urn:ngsiv2:ROS2System:Turtle005,ROS2System,Status,Text,Finished
2023-01-27T04:49:04.704Z,/,urn:ngsiv2:ROS2System:Turtle005,ROS2System,start,Text,
2023-01-27T04:49:04.704Z,/,urn:ngsiv2:ROS2System:Turtle005,ROS2System,Status,Text,Moving
2023-01-27T04:58:27.704Z,/,urn:ngsiv2:ROS2System:Turtle005,ROS2System,Status,Text,Finished
2023-01-27T07:26:35.704Z,/,urn:ngsiv2:ROS2System:Turtle005,ROS2System,start,Text,
2023-01-27T07:26:35.704Z,/,urn:ngsiv2:ROS2System:Turtle005,ROS2System,Status,Text,Moving
2023-01-27T07:33:26.704Z,/,urn:ngsiv2:ROS2System:Turtle005,ROS2System,Status,Text,Finished
2023-01-27T09:58:06.704Z,/,urn:ngsiv2:ROS2System:Turtle005,ROS2System,start,Text,
2023-01-27T09:58:06.704Z,/,urn:ngsiv2:ROS2System:Turtle005,ROS2System,Status,Text,Moving
2023-01-27T10:07:55.704Z,/,urn:ngsiv2:ROS2System:Turtle005,ROS2System,Status,Text,Finished
2023-01-27T12:21:20.704Z,/,urn:ngsiv2:ROS2System:Turtle005,ROS2System,start,Text,
2023-01-27T12:21:20.704Z,/,urn:ngsiv2:ROS2System:Turtle005,ROS2System,Status,Text,Moving
2023-01-27T12:30:52.704Z,/,urn:ngsiv2:ROS2System:Turtle005,ROS2System,Status,Text,Finished
2023-01-27T14:56:15.704Z,/,urn:ngsiv2:ROS2System:Turtle005,ROS2System,start,Text,
2023-01-27T14:56:15.704Z,/,urn:ngsiv2:ROS2System:Turtle005,ROS2System,Status,Text,Moving
2023-01-27T15:01:31.704Z,/,urn:ngsiv2:ROS2System:Turtle005,ROS2System,Status,Text,Finished
2023-01-27T17:21:56.704Z,/,urn:ngsiv2:ROS2System:Turtle005,ROS2System,start,Text,
2023-01-27T17:21:56.704Z,/,urn:ngsiv2:ROS2System:Turtle005,ROS2System,Status,Text,Moving
2023-01-27T17:28:24.704Z,/,urn:ngsiv2:ROS2System:Turtle005,ROS2System,Status,Text,Finished
2023-01-27T19:56:53.704Z,/,urn:ngsiv2:ROS2System:Turtle005,ROS2System,start,Text,
2023-01-27T19:56:53.704Z,/,urn:ngsiv2:ROS2System:Turtle005,ROS2System,Status,Text,Moving
2023-01-27T20:03:43.704Z,/,urn:ngsiv2:ROS2System:Turtle005,ROS2System,Status,Text,Finished
2023-01-27T22:23:13.704Z,/,urn:ngsiv2:ROS2System:Turtle005,ROS2System,start,Text,
2023-01-27T22:23:13.704Z,/,urn:ngsiv2:ROS2System:Turtle005,ROS2System,Status,Text,Moving
