recvTime,fiwareServicePath,entityId,entityType,attrName,attrType,attrValue
2023-01-25T09:34:25.701Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,
2023-01-25T09:34:25.701Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Moving
2023-01-25T09:40:34.701Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Finished
2023-01-25T12:13:08.701Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,
2023-01-25T12:13:08.701Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Moving
2023-01-25T12:21:31.701Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Finished
2023-01-25T14:36:00.701Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,
2023-01-25T14:36:00.701Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Moving
2023-01-25T14:41:24.701Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Finished
2023-01-25T17:04:38.701Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,
2023-01-25T17:04:38.701Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Moving
2023-01-25T17:10:06.701Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Finished
2023-01-26T09:37:42.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,
2023-01-26T09:37:42.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Moving
2023-01-26T09:46:28.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Finished
2023-01-26T12:13:16.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,
2023-01-26T12:13:16.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Moving
2023-01-26T12:20:02.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Finished
2023-01-26T15:05:15.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,
2023-01-26T15:05:15.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Moving
2023-01-26T15:13:30.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Finished
2023-01-26T17:38:49.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,
2023-01-26T17:38:49.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Moving
2023-01-26T17:48:21.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Finished
2023-01-26T20:45:09.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,
2023-01-26T20:45:09.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Moving
2023-01-26T20:52:54.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Finished
2023-01-26T23:16:57.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,
2023-01-26T23:16:57.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Moving
2023-01-26T23:25:14.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Finished
2023-01-27T01:51:23.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,
2023-01-27T01:51:23.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Moving
2023-01-27T01:58:01.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Finished
2023-01-27T04:24:04.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,
2023-01-27T04:24:04.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Moving
2023-01-27T04:30:25.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Finished
2023-01-27T07:00:54.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,
2023-01-27T07:00:54.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Moving
2023-01-27T07:09:19.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Finished
2023-01-27T09:41:02.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,
2023-01-27T09:41:02.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Moving
2023-01-27T09:47:50.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Finished
2023-01-27T11:53:43.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,
2023-01-27T11:53:43.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Moving
2023-01-27T12:03:21.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Finished
2023-01-27T14:35:45.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,
2023-01-27T14:35:45.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Moving
2023-01-27T14:44:21.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Finished
2023-01-27T16:57:24.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,
2023-01-27T16:57:24.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Moving
2023-01-27T17:02:47.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Finished
2023-01-27T19:32:53.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,
2023-01-27T19:32:53.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Moving
2023-01-27T19:42:36.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Finished
2023-01-27T22:00:59.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,
2023-01-27T22:00:59.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Moving
2023-01-27T22:07:29.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Finished
2023-01-28T00:38:54.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,
2023-01-28T00:38:54.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Moving
2023-01-28T00:47:20.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Finished
2023-01-28T03:24:58.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,
2023-01-28T03:24:58.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Moving
2023-01-28T03:30:32.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Finished
2023-01-28T05:48:53.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,
2023-01-28T05:48:53.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Moving
2023-01-28T05:58:09.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Finished
2023-01-28T08:16:14.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,
2023-01-28T08:16:14.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Moving
2023-01-28T08:21:48.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Finished
2023-01-28T10:49:34.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,
2023-01-28T10:49:34.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Moving
2023-01-28T10:56:15.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Finished
2023-01-28T13:25:42.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,
2023-01-28T13:25:42.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Moving
2023-01-28T13:33:24.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Finished
2023-01-28T15:53:49.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,
2023-01-28T15:53:49.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Moving
2023-01-28T16:01:11.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Finished
2023-01-28T18:29:33.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,
2023-01-28T18:29:33.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Moving
2023-01-28T18:37:18.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Finished
2023-01-28T20:55:46.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,
2023-01-28T20:55:46.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Moving
2023-01-28T21:02:38.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Finished
2023-01-28T23:32:52.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,
2023-01-28T23:32:52.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Moving
2023-01-28T23:42:01.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Finished
2023-01-29T02:14:50.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,
2023-01-29T02:14:50.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Moving
2023-01-29T02:22:28.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Finished
2023-01-29T04:38:39.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,
2023-01-29T04:38:39.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Moving
2023-01-29T04:44:07.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Finished
2023-01-29T07:07:57.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,
2023-01-29T07:07:57.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Moving
2023-01-29T07:15:30.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Finished
2023-01-29T09:37:34.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,
2023-01-29T09:37:34.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Moving
2023-01-29T09:45:10.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Finished
2023-01-29T12:04:36.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,
2023-01-29T12:04:36.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Moving
2023-01-29T12:10:12.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Finished
2023-01-29T14:40:48.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,
2023-01-29T14:40:48.704Z,/,urn:ngsiv2:ROS2System:Turtle004,ROS2System,start,Text,Moving
